City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
565,Pitiquito,MX,30.7,-112.0833,79.52,55,100,12.91,overcast clouds
566,Tres Arroyos,AR,-38.3739,-60.2798,68.65,20,100,11.83,overcast clouds
567,Portobelo,PA,9.55,-79.65,83.95,73,51,6.85,broken clouds
568,Pisco,PE,-13.7,-76.2167,66.02,72,4,10.36,haze
569,Makakilo City,US,21.3469,-158.0858,82.72,60,0,11.5,clear sky
570,Garissa,KE,-0.4536,39.6401,76.93,64,22,23.13,few clouds
571,Vila Velha,BR,-20.3297,-40.2925,75.15,89,75,12.66,broken clouds
572,Saint-Pierre,RE,-21.3393,55.4781,73.56,77,75,13.8,broken clouds
573,Muisne,EC,0.6,-80.0333,77.29,76,72,12.44,broken clouds
574,Noumea,NC,-22.2763,166.4572,69.78,85,100,0.89,light rain
575,Manokwari,ID,-0.8667,134.0833,77.94,74,83,3.85,broken clouds
576,Northport,US,33.229,-87.5772,75.25,37,0,16.11,clear sky
577,Morondava,MG,-20.2833,44.2833,76.35,81,1,12.48,clear sky
578,Grindavik,IS,63.8424,-22.4338,50.47,100,100,12.66,overcast clouds
579,Raigarh,IN,21.9,83.4,75.47,88,74,3.15,broken clouds
580,Sisimiut,GL,66.9395,-53.6735,37.92,92,100,13.09,overcast clouds
581,Cardston,CA,49.2,-113.3019,70.09,55,99,3.44,overcast clouds
582,Auki,SB,-8.7676,160.7034,75.99,87,21,3.71,few clouds
583,Tongren,CN,27.7172,109.1853,73.15,72,6,0.54,clear sky
584,Montalvo,EC,-1.8,-79.3333,94.01,40,18,4.63,few clouds
585,Samarai,PG,-10.6167,150.6667,80.78,79,2,8.59,clear sky
586,Kieta,PG,-6.2167,155.6333,76.84,78,50,5.57,scattered clouds
587,Robertsport,LR,6.7533,-11.3686,75.92,87,100,6.15,overcast clouds
588,Dawlatabad,AF,36.4141,64.9053,71.22,29,0,1.66,clear sky
589,Port-Cartier,CA,50.0334,-66.8654,57.74,44,45,6.46,scattered clouds
590,Grants Pass,US,42.439,-123.3284,74.34,53,100,1.01,overcast clouds
591,Salmon Arm,CA,50.6998,-119.3024,67.32,77,100,1.14,overcast clouds
592,Akdepe,TM,42.0551,59.3788,63.43,29,92,15.73,overcast clouds
593,Yerbogachen,RU,61.2767,108.0108,23.72,79,11,2.93,few clouds
594,Shumskiy,RU,54.8318,99.1328,40.35,92,100,3.33,light rain
595,Kushmurun,KZ,52.4503,64.6311,34.03,42,47,7.0,scattered clouds
596,Nouadhibou,MR,20.931,-17.0347,80.58,61,37,16.11,sand
597,Itambacuri,BR,-18.0311,-41.685,83.16,52,100,10.38,overcast clouds
598,Havoysund,NO,70.9963,24.6622,46.63,76,82,12.71,broken clouds
599,Imbituba,BR,-28.24,-48.6703,63.01,61,100,7.43,overcast clouds
600,Caravelas,BR,-17.7125,-39.2481,79.3,66,36,7.63,scattered clouds
601,Saint Anthony,US,45.0205,-93.218,69.78,37,0,14.97,clear sky
602,Nuevo Progreso,MX,23.1667,-97.95,84.54,48,71,5.01,broken clouds
603,Galle,LK,6.0367,80.217,78.91,85,100,11.07,overcast clouds
604,Namibe,AO,-15.1961,12.1522,67.55,86,100,2.37,overcast clouds
605,Hearst,CA,49.6835,-83.6665,62.85,52,99,11.3,overcast clouds
606,Palmer,US,42.1584,-72.3287,66.06,54,40,10.36,scattered clouds
607,Guymon,US,36.6828,-101.4816,89.6,17,20,18.41,few clouds
608,Nola,IT,40.922,14.5329,72.01,86,63,5.55,broken clouds
609,Roebourne,AU,-20.7833,117.1333,70.03,69,0,7.83,clear sky
610,Brae,GB,60.3964,-1.353,50.65,86,69,10.18,broken clouds
611,Warrnambool,AU,-38.3833,142.4833,48.25,90,71,8.41,broken clouds
612,Chegdomyn,RU,51.1167,133.0167,38.86,98,100,1.83,overcast clouds
613,Chilmari,BD,25.5559,89.6715,81.59,80,65,6.49,broken clouds
614,Tolaga Bay,NZ,-38.3667,178.3,56.61,86,33,3.22,scattered clouds
615,Kichera,RU,55.9375,110.0997,36.28,90,100,3.47,overcast clouds
616,Batemans Bay,AU,-35.7167,150.1833,56.1,90,99,10.56,light rain
617,Pilar,BR,-9.5972,-35.9567,80.53,62,89,9.71,overcast clouds
618,Amapa,BR,1.0,-52.0,93.2,38,98,8.1,overcast clouds
619,Luang Prabang,LA,19.8856,102.1347,72.46,98,100,2.3,overcast clouds
620,Calama,CL,-22.4667,-68.9333,66.69,4,0,27.63,clear sky
621,Chaska,US,44.7894,-93.6022,71.01,40,0,16.11,clear sky
622,Comarapa,BO,-17.9,-64.4833,52.36,83,100,3.8,overcast clouds
623,Phan Thiet,VN,10.9333,108.1,76.68,89,100,4.16,overcast clouds
624,Funes,AR,-32.9157,-60.81,73.94,30,0,8.05,clear sky
625,Arkadelphia,US,34.1209,-93.0538,75.58,31,0,10.36,clear sky
626,Sibenik,HR,43.7272,15.9058,69.39,70,100,11.99,overcast clouds
627,Mulchen,CL,-37.7167,-72.2333,67.86,39,99,4.92,overcast clouds
