City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
654,Foam Lake,CA,77.02,clear sky,51.65,-103.5343,Foam Lake Campground
658,Linhares,BR,75.31,overcast clouds,-19.3911,-40.0722,Hotel Conceição
659,Altagracia De Orituco,VE,76.66,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
665,San Cristobal,VE,84.38,broken clouds,7.7669,-72.225,Pirineos
666,Les Cayes,HT,84.22,overcast clouds,18.2,-73.75,Villa Orphee
674,Mabaruma,GY,84.22,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
675,Nishihara,JP,78.08,clear sky,26.1842,127.7558,Minshuku Agaihama
676,Tautira,PF,76.93,clear sky,-17.7333,-149.15,Pension Oaoa
680,Villa Bruzual,VE,86.68,overcast clouds,9.3328,-69.1208,hotel italia
681,Behshahr,IR,75.15,clear sky,36.6923,53.5526,Abbas Abad Hotel & Restaurant
685,Palauig,PH,79.12,broken clouds,15.435,119.9045,Villa Raphael Resort
689,Nogales,MX,78.37,broken clouds,31.3086,-110.9422,Siesta Motel
